DATA
54
conv1	-1	13003	12544	147	64	NONE	0	12864	12544	147	64	NONE	0	32291	12544	147	64	ALLREDUCE	37632	3229
layer_64_1_conv4	-1	3456	3136	64	256	NONE	0	3648	3136	64	256	NONE	0	7488	3136	64	256	ALLREDUCE	65536	749
layer_64_1_conv1	-1	3456	3136	64	64	NONE	0	3456	3136	64	64	NONE	0	7488	3136	64	64	ALLREDUCE	16384	749
layer_64_1_conv2	-1	10944	3136	576	64	NONE	0	10368	3136	576	64	NONE	0	14144	3136	576	64	ALLREDUCE	147456	1414
layer_64_1_conv3	-1	3456	3136	64	256	NONE	0	3648	3136	64	256	NONE	0	7488	3136	64	256	ALLREDUCE	65536	749
layer_64_2_conv1	-1	3648	3136	256	64	NONE	0	3456	3136	256	64	NONE	0	9984	3136	256	64	ALLREDUCE	65536	998
layer_64_2_conv2	-1	10944	3136	576	64	NONE	0	10368	3136	576	64	NONE	0	14144	3136	576	64	ALLREDUCE	147456	1414
layer_64_2_conv3	-1	3456	3136	64	256	NONE	0	3648	3136	64	256	NONE	0	7488	3136	64	256	ALLREDUCE	65536	749
layer_64_3_conv1	-1	3648	3136	256	64	NONE	0	3456	3136	256	64	NONE	0	9984	3136	256	64	ALLREDUCE	65536	998
layer_64_3_conv2	-1	10944	3136	576	64	NONE	0	10368	3136	576	64	NONE	0	14144	3136	576	64	ALLREDUCE	147456	1414
layer_64_3_conv3	-1	3456	3136	64	256	NONE	0	3648	3136	64	256	NONE	0	7488	3136	64	256	ALLREDUCE	65536	749
layer_128_1_conv4	-1	2592	784	256	512	NONE	0	2592	784	256	512	NONE	0	6144	784	256	512	ALLREDUCE	524288	614
layer_128_1_conv1	-1	3648	3136	256	128	NONE	0	3520	3136	256	128	NONE	0	9984	3136	256	128	ALLREDUCE	131072	998
layer_128_1_conv2	-1	6480	784	1152	128	NONE	0	5840	784	1152	128	NONE	0	6656	784	1152	128	ALLREDUCE	589824	666
layer_128_1_conv3	-1	2336	784	128	512	NONE	0	2592	784	128	512	NONE	0	5120	784	128	512	ALLREDUCE	262144	512
layer_128_2_conv1	-1	2592	784	512	128	NONE	0	2336	784	512	128	NONE	0	4096	784	512	128	ALLREDUCE	262144	410
layer_128_2_conv2	-1	6480	784	1152	128	NONE	0	5840	784	1152	128	NONE	0	6656	784	1152	128	ALLREDUCE	589824	666
layer_128_2_conv3	-1	2336	784	128	512	NONE	0	2592	784	128	512	NONE	0	5120	784	128	512	ALLREDUCE	262144	512
layer_128_3_conv1	-1	2592	784	512	128	NONE	0	2336	784	512	128	NONE	0	4096	784	512	128	ALLREDUCE	262144	410
layer_128_3_conv2	-1	6480	784	1152	128	NONE	0	5840	784	1152	128	NONE	0	6656	784	1152	128	ALLREDUCE	589824	666
layer_128_3_conv3	-1	2336	784	128	512	NONE	0	2592	784	128	512	NONE	0	5120	784	128	512	ALLREDUCE	262144	512
layer_128_4_conv1	-1	2592	784	512	128	NONE	0	2336	784	512	128	NONE	0	4096	784	512	128	ALLREDUCE	262144	410
layer_128_4_conv2	-1	6480	784	1152	128	NONE	0	5840	784	1152	128	NONE	0	6656	784	1152	128	ALLREDUCE	589824	666
layer_128_4_conv3	-1	3146	784	128	512	NONE	0	2592	784	128	512	NONE	0	5120	784	128	512	ALLREDUCE	262144	512
layer_256_1_conv4	-1	5664	196	512	1024	NONE	0	5664	196	512	1024	NONE	0	3856	196	512	1024	ALLREDUCE	2097152	386
layer_256_1_conv1	-1	3539	784	512	256	NONE	0	3146	784	512	256	NONE	0	4096	784	512	256	ALLREDUCE	524288	410
layer_256_1_conv2	-1	6372	196	2304	256	NONE	0	6372	196	2304	256	NONE	0	2756	196	2304	256	ALLREDUCE	2359296	276
layer_256_1_conv3	-1	2832	196	256	1024	NONE	0	3539	196	256	1024	NONE	0	2832	196	256	1024	ALLREDUCE	1048576	283
layer_256_2_conv1	-1	3539	196	1024	256	NONE	0	2832	196	1024	256	NONE	0	1476	196	1024	256	ALLREDUCE	1048576	148
